ᎤᎭ|ù:ha||u¹ha|He has something solid|uu1ha
ᎡᏥ|e:ji||e²ji|Mother|ee2ji
ᎡᎦ|é:ga||e³ga|He is going|ee3ga
ᏨᏌ|jv̌:sa||jv²³sa|Yourself|jvv23sa
ᏓᏋᏯ|dà:gwù:wâ:ya||da¹gwu¹wa³²ya|I have rod shaped things|daa1gwuu1waa32ya
ᏓᏂᏰᎠ|dà:ni:hyé:ɂa||da¹ni²hye³ɂa|They are eating flexible things|daa1nii2hyee3-a
ᏦᎩᎪᏗ|jò:gi:kóhdi||jo¹gi²koh³di|For them and me to have living things|joo1gii2koh3di
ᏦᎵᎦ|johlga||johl²ga|He recognizes you|johl2ga
ᎭᏓᎪᏩᏔ|hada:gò:wahta||hạ²da²go¹wah²ta|Let you see yourself|haa2daa2goo1wah2ta
ᎠᎪᎵᎦ|à:go:lì:ga||a¹go²li¹ga|He is being recognized|aa1goo2lii1ga
ᎡᏦᎵᏍᏗ|è:jo:hlísdi||e¹jo²hlị³sdi|For you to be recognized|ee1joo2hli3sdi
ᏓᎪᏩᏔ|dagò:wahtā||dạ²go¹wah²ta²|He recently saw them|da2goo1wah2ta2
ᎤᏓᎪᎲᎢ|ù:da:go:hv̌:ɂi||u¹da²go²hv²³ɂi|He saw himself a while ago|uu1daa2goo2hvv23-i
ᏫᏦᏥᏟᏌ|wijò:jì:hlǐ:sa||wị²jo¹ji¹hli²³sa|Let them and me gather things|wi2joo1jii1hlii23sa
ᏫᏗᎪᎵᎩ|widigo:lì:gi||wị²dị²go²li¹gi|Let me understand things|wi2di2goo2lii1gi
ᏧᏤᎵᎢ|juje:li̋:ɂi||jụ²je²li⁴ɂi|His things|juu2jee2lii4-i
ᏔᏚᎩ|tatǔ:gi||tạ²tu²³gi|Let you drink alcoholic drinks|ta2tuu23gi
ᏍᏆᏚᎳ|sgwadǔ:la||sgwạ²du²³la|Let you want me|sgwa2duu23la
ᏕᎭᏚᎦ|de:hatǔ:gā||de²hạ²tu²³ga²|You recently drank alcoholic drinks|dee2ha2tuu23ga2
ᎥᏆᏚᎳ|v̀:gwadǔ:lā||v¹gwạ²du²³la²|I was recently wanted|vv1gwa2duu23la2
ᏚᎭ|du:ha||du²ha|He has solid things|duu2ha
ᎨᎦ|gé:ga||ge³ga|I am going|gee3ga
ᎠᏋᏌ|à:gwv̌:sa||a¹gwv²³sa|Myself|aa1gwvv23sa
ᏕᏨᏯ|de:jù:wâ:ya||de²ju¹wa³²ya|You have rod shaped things|dee2juu1waa32ya
ᏕᏂᏰᎠ|dé:ni:hyé:ɂa||de³ni²hye³ɂa|You and I are eating flexible things|dee3nii2hyee3-a
ᏧᏂᎪᏗ|jù:ni:kóhdi||ju¹ni²koh³di|For them to have living things|juu1nii2koh3di
ᎢᎾᏓᎪᏩᏔ|ì:nada:gò:wahta||i¹nạ²da²go¹wah²ta|Let you and me see ourselves|ii1na2daa2goo1wah2ta
ᎡᎪᎵᎦ|è:go:lì:ga||e¹go²li¹ga|All of us are being recognized|ee1goo2lii1ga
ᎨᏦᎵᏍᏗ|ge:jo:hlísdi||ge²jo²hlị³sdi|For them to recognize you|gee2joo2hli3sdi
ᎠᏓᎪᏩᏔ|à:da:gò:wahtā||a¹da²go¹wah²ta²|He recently saw himself|aa1daa2goo1wah2ta2
ᏣᏓᎪᎲᎢ|jada:go:hv̌:ɂi||jạ²da²go²hv²³ɂi|You saw yourself a while ago|ja2daa2goo2hvv23-i
ᏫᏗᏂᏟᏌ|widinì:hlǐ:sa||wị²dị²ni¹hli²³sa|Let them gather things|wi2di2nii1hlii23sa
ᏗᏣᏤᎵᎢ|dijaje:li̋:ɂi||dị²jạ²je²li⁴ɂi|Your things; You all, your things|di2jaa2jee2lii4-i
ᏗᏓᏚᎩ|didatǔ:gi||dị²dạ²tu²³gi|Let all of us drink alcoholic drinks|di2da2tuu23gi
ᏗᎦᏓᏚᎳ|digadadǔ:la||dị²gạ²dạ²du²³la|Let all of us want each other|di2ga2da2duu23la
ᎨᎦᏚᎳ|ge:gadǔ:lā||ge²gạ²du²³la²|They recently wanted all of us; They were recently wanted|gee2ga2duu23la2
ᎢᎩᎭ|ì:gi:ha||i¹gi²ha|All of us have something solid|ii1gii2ha
ᎮᎦ|hé:ga||he³ga|You are going|hee3ga
ᏕᏗᏰᎠ|dé:di:hyé:ɂa||de³di²hye³ɂa|All of us are eating flexible things|dee3dii2hyee3-a
ᏗᎩᎪᏗ|digi:kóhdi||dị²gi²koh³di|For all of us to have living things|di2gii2koh3di
