	#CED Order							#possessives	#reciprocal relationship
	#R1								
vta, alt	Ꭼ²-, Ꭼ²Ꮿ͓-	Gv²-, Gv²y-	I	you one					
vta, alt	Ꮵ²-, Ꮵ²Ꮿ͓-	Ji²-, Ji²y-	I	him					
vi, vti, alt	Ꮵ̣²-, Ꭶ͓-	Jị²-, G-	I	it	a			My	
vi, vti	Ꭰ¹Ꭹ̣²-, Ꭰ¹Ꮖ͓-	A¹gị²-, A¹gw-	I	it	b			My	
vta, alt	ᏍᏛ²-, ᏍᏛ²Ꮿ͓-	Sdv²-, Sdv²y-	I	you two					
vta, alt	Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-	I¹jv²-, I¹jv²y-	I	you all					
vta	Ꭶ̣²Ꮵ²-, ᎦᏥᏯ͓-	Gạ²ji-, Gạ²jiy-	I	them-animate					
vti	Ꮥ²Ꮵ̣²-, Ꮥ²Ꭶ͓-	De²jị²-, De²g-	I	them-inanimate	a	Ꮧ̣²Ꮵ̣²-, Ꮧ̣²Ꭶ͓-	Dị²jị²-, Dị²g-	My	
vti	Ꮣ¹Ꭹ²-, Ꮣ¹Ꮖ͓-	Da¹gị²-, Da¹gw-	I	them-inanimate	b	Ꮧ̣¹Ꭹ̣²-, Ꮧ̣¹Ꮖ͓-	Dị¹gị²-, Dị¹gw-	My	
	#R2								
vta, alt	ᏍᎩ̣²-, ᏍᏆ͓-	Sgị²-, Sgw-	You one	me					
vta, alt	Ꭿ²-, Ꭿ²Ꮿ͓-	Hi²-, Hi²y-	You one	him					
vi, vti	Ꭿ̣²-	Hị²-	You one	it	a			Your ones	
vi, vti	Ꮳ̣²-	Jạ²-	You one	it	b			Your ones	
vta, alt	ᏍᎩ̣²Ꮒ²-	Sgị²ni²-	You one	us, him and me					
vta	Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-	I¹sgi²-, I¹sgi²y-	You one	us, them and me					
vta	Ꭶ̣²Ꭿ²-, Ꭶ̣²Ꭿ²Ꮿ͓-	Gạ²hi²-, Gạ²hi²y-	You one	them-animate					
vti	Ꮥ²Ꭿ̣²-	De²hị²-	You one	them-inanimate	a	Ꮨ̣²-	tị²-	Your ones	
vti	Ꮥ²Ꮳ̣²-	De²jạ²-	You one	them-inanimate	b	Ꮧ̣²Ꮳ̣²-	Dị²jạ²-	Your ones	
	#R3								
vta	Ꭰ¹Ꭹ̣²-, Ꭰ¹Ꮖ͓-	A¹gị²-, A¹gw-	He	me					
vta	Ꮳ̣²-	Jạ²-	He	you one					
vta, g	Ꭰ̣²-, Ꭶ̣²-	Ạ²-, Gạ²-	He	him	a				
vi, vti, g	Ꭰ̣²-, Ꭶ̣²-	Ạ²-, Gạ²-	He	it	a			His	
vta	Ꭴ¹-, Ꭴ¹Ꮹ͓-	U¹-, U¹w-	He	him	b				
vi, vti	Ꭴ¹-, Ꭴ¹Ꮹ͓-	U¹-, U¹w-	He	it	b			His	
vta	Ꭹ̣²Ꮒ²-	Gị²ni²-	He	us, you one and me					
vta	Ꭳ¹Ꭹ̣²Ꮒ²-	O¹gị²ni²-	He	us, him and me					
vta	Ꭲ¹Ꭹ²-	I¹gi²-	He	us, you all and me					
vta	Ꭳ¹Ꭹ²-	O¹gi²-	He	us, them and me					
vta	ᏍᏗ²-	Sdi²-	He	you two					
vta	Ꭲ¹Ꮵ²-	I¹ji²-	He	you all					
vta, g	Ꮣ̣²-, Ꮥ²Ꭶ̣²-	Dạ²-, De²gạ²-	He	them-animate	a	Ꮧ̣²-, Ꮧ̣²Ꭶ̣²-	Dị²-, Dị²gạ²-		
vti, g	Ꮣ̣²-, Ꮥ²Ꭶ̣²-	Dạ²-, De²gạ²-	He	them-inanimate	a	Ꮧ̣²-, Ꮧ̣²Ꭶ̣²-	Dị²-, Dị²gạ²-	His	
vta	Ꮪ²-, Ꮪ²Ꮹ͓-	Du²-, Du²w-	He	them-animate	b	Ꮷ²-, Ꮷ²Ꮹ͓-	ju²-, ju²w-		
vti	Ꮪ²-, Ꮪ²Ꮹ͓-	Du²-, Du²w-	He	them-inanimate	b	Ꮷ²-, Ꮷ²Ꮹ͓-	ju²-, ju²w-	His	
	#R4								
vta, alt	Ꭱ¹Ꮒ²-	E¹ni²-	You one and I, we	him					
vi, vti	Ꭲ¹Ꮒ²-	I¹ni²-	You one and I, we	it	a			You one and I, our	
vi, vti	Ꭹ̣²Ꮒ²-	Gị²ni²-	You one and I, we	it	b			You one and I, our	
vta	Ꭸ²Ꮒ̣²-	Ge²ni²-	You one and I, we	them-animate					
vti	Ꮥ³Ꮒ̣²-	De³ni²-	You one and I, we	them-inanimate	a	Ꮧ̣³Ꮒ̣²-	Dị'³ni²-	You one and I, our	
vti	Ꮥ²Ꭹ̣²Ꮒ²-	De²gị²ni²-	You one and I, we	them-inanimate	b	Ꮧ̣²Ꭹ̣²Ꮒ²-	Dị²gị²ni²-	You one and I, our	
	#R5								
vta, alt	ᏍᏛ²-, ᏍᏛ²Ꮿ͓-	Sdv²-, Sdv²y-	He and I, we	you one					
vta, alt	Ꭳ¹ᏍᏗ²-	O¹sdi²-	He and I, we	him					
vi, vti	Ꭳ¹ᏍᏗ²-	O²sdi²-	He and I, we	it	a			He and I, our	
vi, vti	Ꭳ¹Ꭹ̣²Ꮒ²-	O¹gị²ni²-	He and I, we	it	b			He and I, our	
vta	ᏍᏛ²-, ᏍᏛ²Ꮿ͓-	Sdv²-, Sdv²y-	He and I, we	you two					
vta, alt	Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-	I¹jv²-, I¹jv²y-	He and I, we	you all					
vta	Ꭺ²ᏍᏗ²-	Go²sdi²-	He and I, we	them-animate					
vti	Ꮩ¹ᏍᏗ²-	Do¹sdi²-	He and I, we	them-inanimate	a	Ꮶ¹ᏍᏗ²-	jo¹sdi²-	He and I, our	
vti	Ꮩ¹Ꭹ̣²Ꮒ²-	Do¹gị²ni²-	He and I, we	them-inanimate	b	Ꮶ¹Ꭹ̣²Ꮒ²-	jo¹gị²ni²-	He and I, our	
	#R6								
vta, alt	Ꭱ¹Ꮧ²-	E¹di²-	You all and I, we	him					
vi, vti	Ꭲ¹Ꮧ²-	I¹di²-	You all and I, we	it	a			You all and I, our	
vi, vti	Ꭲ¹Ꭹ²-	I¹gi²-	You all and I, we	it	b			You all and I, our	
vta, alt	Ꭸ²Ꮧ̣²-	Ge²di²-	You all and I, we	them-animate					
