ᎤᎭ	u¹ha	uu1ha
ᎡᏥ	e²ji	ee2ji
ᎡᎦ	e³ga	ee3ga
ᏨᏌ	jv⁴sa	jvv4sa
ᏦᎩᏘᏗ	jo¹gi¹tdi	joo1gii1tdi
ᎤᏓᎪᏗ	u¹da²koh³di	uu1daa2koh3di
ᏓᏂᏰᎠ	da¹ni²hye³ɂa	daa1nii2hyee3-a
ᏦᎵᎦ	johl²ga	johl2ga
ᎯᎪᏩᏔ	hi²go¹wah²ta	hii2goo1wah2ta
ᏕᏥᏰᎠ	de²jị²ye³ɂa	dee2ji2yee3-a
ᏫᏦᏥᏯᎦ	wị²jo¹ji²hyạ²ga	wi2joo1jii2hya2ga
ᏫᏗᏃᎵᎩ	wị²dị²nohl²gi	wi2di2nohl2gi
ᎠᎪᎵᎦ	a¹go²li¹ga	aa1goo2lii1ga
ᏦᎦᏓᏙᎵᏍᏗ	jo¹gạ²da²do²hlị³sdi	joo1ga2daa2doo2hli3sdi
ᏕᎦᏓᎪᎲᎢ	de³gạ²da²go²hv²³ɂi	dee3ga2daa2goo2hvv23-i
ᏔᏚᎩ	tạ²tu²³gi	ta2tuu23gi
ᎩᎾᏓᏚᎳ	gị²nạ²dạ²du²³la	gi2na2da2duu23la
ᏫᏗᎦᏚᎩ	wị²dị²gạɂ²du²³gi	wi2di2ga-2duu23gi
ᏚᎭ	du²ha	duu2ha
ᎨᎦ	ge³ga	gee3ga
ᎠᏋᏌ	a¹gwv⁴sa	aa1gwvv4sa
ᏧᏩᏘᏗ	ju²wa¹tdi	juu2waa1tdi
ᎬᏯᎪᏗ	gv²ya²koh³di	gvv2yaa2koh3di
ᏍᏉᎵᎦ	sgwohl²ga	sgwohl2ga
ᎢᏍᎩᎪᏩᏔ	i¹sgi²go¹wah²ta	ii1sgii2goo1wah2ta
ᏫᏦᏍᏗᏯᎦ	wị²jo¹sdi²hyạ²ga	wi2joo1sdii2hya2ga
ᎡᎪᎵᎦ	e¹go²li¹ga	ee1goo2lii1ga
ᏧᎾᏓᏙᎵᏍᏗ	ju¹nạ²da²do²hlị³sdi	juu1na2daa2doo2hli3sdi
ᏙᎦᏓᎪᎲᎢ	do¹gạ²da²go²hv²³ɂi	doo1ga2daa2goo2hvv23-i
ᏗᏓᏚᎩ	dị²dạ²tu²³gi	di2da2tuu23gi
ᏗᎩᎾᏓᏚᎳ	dị²gị²nạ²dạ²du²³la	di2gi2na2da2duu23la
ᎢᎩᎭ	i¹gi²ha	ii1gii2ha
ᎮᎦ	he³ga	hee3ga
ᏧᏂᏘᏗ	ju¹ni¹tdi	juu1nii1tdi
ᏥᏯᎪᏗ	ji²ya²koh³di	jii2yaa2koh3di
ᎡᏦᎵᎦ	e¹johl²ga	ee1johl2ga
ᎦᎯᎪᏩᏔ	gạ²hi²go¹wah²ta	ga2hii2goo1wah2ta
ᎡᏃᎵᎦ	e¹no²li¹ga	ee1noo2lii1ga
ᏚᎾᏓᎪᎲᎢ	du¹nạ²da²go²hv²³ɂi	duu1na2daa2goo2hvv23-i
ᏦᎩᎾᏓᏙᎵᏍᏗ	jo¹gị²nạ²da²do²hlị³sdi	joo1gi2na2daa2doo2hli3sdi
ᏗᎾᏚᎩ	dị³nạ²tu²³gi	di3na2tuu23gi
ᎣᎩᎭ	o¹gi²ha	oo1gii2ha
ᏍᏕᎦ	sde³ga	sdee3ga
ᏗᎩᏘᏗ	dị²gi¹tdi	di2gii1tdi
ᎥᏉᎵᎦ	v¹gwohl²ga	vv1gwohl2ga
ᎭᏓᎪᏩᏔ	hạ²da²go¹wah²ta	haa2daa2goo1wah2ta
ᎡᏙᎵᎦ	e¹do²li¹ga	ee1doo2lii1ga
ᏕᎩᎾᏓᎪᎲᎢ	de²gị²nạ²da²go²hv²³ɂi	dee2gi2na2daa2goo2hvv23-i
ᏫᏓᏚᎩ	wị²dạ²tu²³gi	wi2da2tuu23gi
ᎤᏂᎭ	u¹ni²ha	uu1nii2ha
ᎠᏁᎦ	a¹ne³ga	aa1nee3ga
ᏗᏍᏗᏘᏗ	dị²sdi¹tdi	di2sdii1tdi
ᏕᎯᏰᎠ	de²hị²hye³ɂa	dee2hi2hyee3-a
ᏍᏓᏓᎪᏩᏔ	sdạ²da²go¹wah²ta	sdaa2daa2goo1wah2ta
ᎡᏦᎵᎦ	e¹jo²li¹ga	ee1joo2lii1ga
ᏙᎩᎾᏓᎪᎲᎢ	do¹gị²nạ²da²go²hv²³ɂi	doo1gi2na2daa2goo2hvv23-i
ᏕᎩᎭ	de³gi²ha	dee3gii2ha
ᏗᏣᏘᏗ	dị²jạ¹tdi	di2ja1tdi
ᎦᏥᏯᎪᏗ	gạ²ji²ya²koh³di	ga2jii2yaa2koh3di
ᎢᎾᏓᎪᏩᏔ	i¹nạ²da²go¹wah²ta	ii1na2daa2goo1wah2ta
ᏕᏥᎭ	de³ji²ha	dee3jii2ha
ᎢᏕᎦ	i¹de³ga	ii1dee3ga
ᏗᏥᏘᏗ	dị²ji¹tdi	di2jii1tdi
ᎢᏓᏓᎪᏩᏔ	i¹dạ²da²go¹wah²ta	ii1da2daa2goo1wah2ta
ᎨᏃᎵᎦ	ge²no²li¹ga	gee2noo2lii1ga
ᏙᎩᎭ	do¹gi²ha	doo1gii2ha
ᎢᏤᎦ	i¹je³ga	ii1jee3ga
ᏗᏣᏓᎪᏗ	di¹jạ²da²koh³di	dii1ja2daa2koh3di
ᏗᎾᏓᎪᏩᏔ	dị²nạ²da²go¹wah²ta	di2na2daa2goo1wah2ta
ᎨᏙᎵᎦ	ge²do²li¹ga	gee2doo2lii1ga
ᏚᏂᎭ	du¹ni²ha	duu1nii2ha
ᏕᎪᎵᎦ	de²gohl²ga	dee2gohl2ga
ᏗᏓᏓᎪᏩᏔ	dị²dạ²da²go¹wah²ta	di2da2daa2goo1wah2ta
ᎨᏦᎵᎦ	ge²jo²li¹ga	gee2joo2lii1ga
ᎩᏂᎭ	gị²ni²ha	gi2nii2ha
ᎠᏓᏙᎵᎦ	a¹da²dohl²ga	aa1daa2dohl2ga
ᏗᏍᏓᏓᎪᏩᏔ	dị²sdạ²da²go¹wah²ta	di2sdaa2daa2goo1wah2ta
ᏓᎩᎭ	da¹gị²ha	daa1gi2ha
ᏗᎦᏓᎪᏗ	dị²gạ²da²koh³di	di2ga2daa2koh3di
ᏫᏦᏣᏓᎪᏩᏔ	wị²jo¹jạ²da²go¹wah²ta	wi2joo1ja2daa2goo1wah2ta
ᏕᏍᏗᎭ	de²sdi²ha	dee2sdii2ha
ᏗᏣᏓᎪᏗ	dị²jạ²da²koh³di	di2ja2daa2koh3di
