ᎡᎦ	e³ga	ee3ga
ᎡᏥ	e²ji	ee2ji
ᎤᎭ	u¹ha	uu1ha
ᏨᏌ	jv⁴sa	jvv4sa
ᎯᎪᏩᏔ	hi²go¹wah²ta	hii2goo1wah2ta
ᎨᎦ	ge³ga	gee3ga
ᏚᎭ	du²ha	duu2ha
ᎮᎦ	he³ga	hee3ga
ᏘᎦ	tị²ga	ti2ga
ᎠᏋᏌ	a¹gwv⁴sa	aa1gwvv4sa
ᏓᎦ	dạ²ga²	da2ga2
ᏍᏕᎦ	sde³ga	sdee3ga
ᎠᏁᎦ	a¹ne³ga	aa1nee3ga
ᏍᏉᎵᎦ	sgwo²li¹ga	sgwoo2lii1ga
ᎢᏁᎦ	i¹ne³ga	ii1nee3ga
ᎢᏕᎦ	i¹de³ga	ii1dee3ga
ᎠᎪᎵᎦ	a¹go²li¹ga	aa1goo2lii1ga
ᎢᏤᎦ	i¹je³ga	ii1jee3ga
ᎣᏤᎦ	o¹je³ga	oo1jee3ga
ᏓᎩᎭ	da¹gị²ha	daa1gi2ha
ᎣᏍᏕᎦ	o²sde³ga	oo2sdee3ga
ᏕᏥᎦ	de²jị²ga²	dee2ji2ga2
ᎥᏉᎵᎦ	v¹gwohl²ga	vv1gwohl2ga
ᏭᏓᏚᎳ	wu¹dạ²du²³la	wuu1da2duu23la
ᎨᎪᎵᎦ	ge²go²li¹ga	gee2goo2lii1ga
ᎢᏍᎩᎪᏩᏔ	i¹sgi²go¹wah²ta	ii1sgii2goo1wah2ta
ᎦᎯᎪᏩᏔ	gạ²hi²go¹wah²ta	ga2hii2goo1wah2ta
ᏣᏓᏚᎳ	jạ²dạ²du²³la	ja2da2duu23la
ᎭᏓᎪᏩᏔ	hạ²da²go¹wah²ta	haa2daa2goo1wah2ta
ᎬᏉᎵᎦ	gv²gwohl²ga	gvv2gwohl2ga
ᎬᏲᎵᎦ	gv²yo²li¹ga	gvv2yoo2lii1ga
ᏥᏲᎵᎦ	ji²yo²li¹ga	jii2yoo2lii1ga
ᏍᏓᏓᎪᏩᏔ	sdạ²da²go¹wah²ta	sdaa2daa2goo1wah2ta
ᎢᎦᏓᏚᎳ	i¹gạ²dạ²du²³la	ii1ga2da2duu23la
ᏍᏛᏲᎵᎦ	sdv²yo²li¹ga	sdvv2yoo2lii1ga
ᏩᏆᏓᏚᎳ	wa¹gwạ²dạ²du²³la	waa1gwaa2da2duu23la
ᎠᏓᏙᎵᎦ	a¹da²dohl²ga	aa1daa2dohl2ga
ᎢᏨᏲᎵᎦ	i¹jv²yo²li¹ga	ii1jvv2yoo2lii1ga
ᏦᎦᏙᎵᏍᏗ	jo¹gạ²da²do²hlị³sdi	joo1ga2daa2doo2hli3sdi
ᏧᎾᏙᎵᏍᏗ	ju¹nạ²da²do²hlị³sdi	juu1na2daa2doo2hli3sdi
ᎢᎾᏓᎪᏩᏔ	i¹nạ²da²go¹wah²ta	ii1na2daa2goo1wah2ta
ᎢᏓᏓᎪᏩᏔ	i¹dạ²da²go¹wah²ta	ii1da2daa2goo1wah2ta
ᏗᎦᏙᎵᏍᏗ	dị²gạ²da²do²hlị³sdi	di2ga2daa2doo2hli3sdi
ᎢᏣᏓᎪᏩᏔ	i¹jạ²da²go¹wah²ta	ii1ja2daa2goo1wah2ta
ᏗᎾᏙᎵᎩ	dị²nạ²da²dohl²gi	di2na2daa2dohl2gi
ᎦᏓᏙᎵᎦ	gạ²da²dohl²ga	ga2daa2dohl2ga
ᏗᏓᏙᎵᎩ	dị²dạ²da²dohl²gi	di2da2daa2dohl2gi
ᏬᎦᏓᏚᎳ	wo¹gạ²dạ²du²³la	woo1ga2da2duu23la
ᎦᏥᏲᎵᎦ	gạ²ji²yohl²ga	ga2jii2yohl2ga
ᏗᏣᏙᎵᎩ	dị²jạ²da²dohl²gi	di2ja2daa2dohl2gi
ᏭᎾᏓᏚᎳ	wu¹nạ²dạ²du²³la	wuu1na2da2duu23la
ᎩᎾᏓᏚᎳ	gị²nạ²dạ²du²³la	gi2na2da2duu23la
ᏦᎩᎾᏙᎵᏍᏗ	jo¹gị²nạ²da²do²hlị³sdi	joo1gi2na2daa2doo2hli3sdi
ᎠᎾᏓᏙᎵᎦ	a¹nạ²da²dohl²ga	aa1naa2daa2dohl2ga
ᏗᎩᎾᏙᎵᏍᏗ	dị²gị²nạ²da²do²hlị³sdi	di2gi2na2daa2doo2hli3sdi
ᎣᏣᏓᏙᎵᎦ	o¹jạ²da²dohl²ga	oo1ja2daa2dohl2ga
ᏓᎾᏓᏙᎵᎦ	da¹nạ²da²dohl²ga	daa1naa2daa2dohl2ga
ᏗᏍᏓᏙᎵᎩ	dị²sdạ²da²dohl²gi	di2sdaa2daa2dohl2gi
ᏙᏣᏓᏙᎵᎦ	do¹jạ²da²dohl²ga	doo1ja2daa2dohl2ga
ᎣᏍᏓᏓᏙᎵᎦ	o¹sdạ²da²dohl²ga	oo1sda2daa2dohl2ga
ᏙᏍᏓᏓᏙᎵᎦ	do¹sdạ²da²dohl²ga	doo1sda2daa2dohl2ga
ᏬᎩᎾᏓᏚᎳ	wo¹gị²nạ²dạ²du²³la	woo1gi2na2da2duu23la
ᎤᏥ	u²ji	uu2ji
ᎮᎾ	he¹na	hee1na
ᎤᎰᎢ	u¹ho³ɂi	uu1hoo3-i
ᎨᎾ	ge¹na²	gee1na2
ᏪᎾ	we¹na	wee1na
ᏚᎰᎢ	du²ho³ɂi	duu2hoo3-i
ᎬᎪᎲᎢ	gv²go²hv²³ɂi	gvv2goo2hvv23-i
ᏍᏉᎵᎩ	sgwo²li¹gi	sgwoo2lii1gi
