	#MULTI-FORMS								
vta, alt	Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-	I¹jv²-, I¹jv²y-	I, we two, or we all	you all					
vta, alt	Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-	I¹jv²-, I¹jv²y-	We all	you one, two					
									
vta, alt	Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-	I¹sgi²-, I¹sgi²y-	You one, two, or all	us all					
vta, alt	Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-	I¹sgi²-, I¹sgi²y-	You all	me					
									
vta, alt	ᏍᏛ²-, ᏍᏛ²Ꮿ͓-	Sdv²-, Sdv²y-	I	you two					
vta, alt	ᏍᏛ²-, ᏍᏛ²Ꮿ͓-	Sdv²-, Sdv²y-	We two	you one or you two					
									
vta, alt	ᏍᎩ̣²Ꮒ²-	Sgị²ni²-	You one or two	us two					
vta, alt	ᏍᎩ̣²Ꮒ²-	Sgị²ni²-	You two	me					
									
	#CED Order							#possessives	#reciprocal relationship
	#R1								
vta, alt	Ꭼ²-, Ꭼ²Ꮿ͓-	Gv²-, Gv²y-	I	you one					
vta, alt	Ꮵ²-, Ꮵ²Ꮿ͓-	Ji²-, Ji²y-	I	him					
vi, vti, alt	Ꮵ̣²-, Ꭶ͓-	Jị²-, G-	I	it	a			My	
vi, vti	Ꭰ¹Ꭹ̣²-, Ꭰ¹Ꮖ͓-	A¹gị²-, A¹gw-	I	it	b			My	
									
vta, alt	Ꭶ̣²Ꮵ²-, Ꭶ̣²Ꮵ²Ꮿ͓-	Gạ²ji²-, Gạ²ji²y-	I	them (animate)					
vti, alt, de	Ꮥ²Ꮵ̣²-, Ꮥ²Ꭶ͓-	De²jị²-, De²g-	I	them (inanimate)	a	Ꮧ̣²Ꮵ̣²-, Ꮧ̣²Ꭶ͓-	Dị²jị²-, Dị²g-	My	
vti, de	Ꮣ¹Ꭹ̣²-, Ꮣ¹Ꮖ͓-	Da¹gị²-, Da¹gw-	I	them (inanimate)	b	Ꮧ̣¹Ꭹ̣²-, Ꮧ̣¹Ꮖ͓-	Dị¹gị²-, Dị¹gw-	My	
	#R2								
vta	ᏍᎩ̣²-, ᏍᏆ͓-	Sgị²-, Sgw-	You one	me					
vta, alt	Ꭿ²-, Ꭿ²Ꮿ͓-	Hi²-, Hi²y-	You one	him					
vi, vti	Ꭿ̣²-	Hị²-	You one	it	a			Your	
vi, vti	Ꮳ̣²-	Jạ²-	You one	it	b			Your	
									
vta, alt	Ꭶ̣²Ꭿ²-, Ꭶ̣²Ꭿ²Ꮿ͓-	Gạ²hi²-, Gạ²hi²y-	You one	them (animate)					
vti, de	Ꮥ²Ꭿ̣²-, Ꮥ²Ꭿ̣²-	De²hị²-, De²hị²-	You one	them (inanimate)	a	Ꮨ̣²-	tị²-	Your	
vti, de	Ꮥ²Ꮳ̣²-, Ꮥ²Ꮳ̣²-	De²jạ²-, De²jạ²-	You one	them (inanimate)	b	Ꮧ̣²Ꮳ̣²-	Dị²jạ²-	Your	
	#R3								
vta	Ꭰ¹Ꭹ̣²-, Ꭰ¹Ꮖ͓-	A¹gị²-, A¹gw-	He	me					
vta	Ꮳ̣²-, Ꮳ̣²-	Jạ²-, Jạ²-	He	you one					
vta, g	Ꭰ̣²-, Ꭶ̣²-	Ạ²-, Gạ²-	He	him	a				
vi, vti, g	Ꭰ̣²-, Ꭶ̣²-	Ạ²-, Gạ²-	He	it	a			His	
vta	Ꭴ¹-, Ꭴ¹Ꮹ͓-	U¹-, U¹w-	He	him	b				
vi, vti	Ꭴ¹-, Ꭴ¹Ꮹ͓-	U¹-, U¹w-	He	it	b			His	
vta	Ꭹ̣²Ꮒ²-	Gị²ni²-	He	us, you one and me					
vta	Ꭳ¹Ꭹ̣²Ꮒ²-	O¹gị²ni²-	He	us, him and me					
vta	Ꭲ¹Ꭹ²-	I¹gi²-	He	us, you all and me					
