ᎠᎦ	ạ²ga²	a2ga2
ᎠᏓ	ạ²da²	a2da2
ᎠᏴ	ạ²yv	a2yv
ᎡᎦ	e³ga	ee3ga
ᎡᎾ	e¹na²	ee1na2
ᎡᏥ	e²ji	ee2ji
ᎤᎭ	u¹ha	uu1ha
ᎤᏥ	u²ji	uu2ji
ᎦᏓ	gạ²da²	ga2da2
ᎨᎦ	ge³ga	gee3ga
ᎨᎾ	ge¹na²	gee1na2
ᎬᏥ	gv²ji	gvv2ji
ᎭᏓ	hạ²da	ha2da
ᎭᏓ	hạ²da²	ha2da2
ᎮᎦ	he³ga	hee3ga
ᎮᎾ	he¹na	hee1na
ᎮᎾ	he¹na²	hee1na2
ᎯᎠ	hị²ɂa	hi2-a
ᎯᎦ	hị²ga	hi2ga
ᎯᎦ	hị²ga²	hi2ga2
ᎯᏥ	hi²ji	hii2ji
ᏂᎯ	nị²hi	ni2hi
ᏓᎦ	dạ²ga²	da2ga2
ᏘᎦ	tị²ga	ti2ga
ᏚᎭ	du²ha	duu2ha
ᏣᎭ	jạ²ha	ja2ha
ᏣᏥ	jạ²ji	ja2ji
ᏥᎦ	jị²ga²	ji2ga2
ᏥᏥ	ji²ji	jii2ji
ᏨᏌ	jv²³sa	jvv23sa
ᏨᏌ	jv⁴sa	jvv4sa
ᏩᎦ	wạ²ga	wa2ga
ᏩᏓ	wạ²da	wa2da
ᏪᎾ	we¹na	wee1na
ᎠᎩᎠ	ạ²gị³ɂa	a2gi3-a
ᎠᎩᎭ	a¹gị²ha	aa1gi2ha
ᎠᎩᏥ	ạ²gị²ji	a2gi2ji
ᎠᎵᎢ	a²lị²ɂi	aa2li2-i
ᎠᎾᏓ	a¹nạ²da²	aa1na2da2
ᎠᏁᎦ	a¹ne³ga	aa1nee3ga
ᎠᏁᎾ	a¹ne¹na²	aa1nee1na2
ᎠᏂᎦ	a¹ni²ga²	aa1nii2ga2
ᎠᏋᏌ	a¹gwv²³sa	aa1gwvv23sa
ᎠᏋᏌ	a¹gwv⁴sa	aa1gwvv4sa
ᎠᏗᎭ	ạ²dị²ha	a2di2ha
ᎡᎪᎢ	e³gọ³ɂi	ee3go3-i
ᎡᏙᏓ	e²do²da	ee2doo2da
ᎢᎩᎭ	i¹gi²ha	ii1gii2ha
ᎢᎩᏥ	i¹gi²ji	ii1gii2ji
ᎢᎬᏌ	i¹gv²³sa	ii1gvv23sa
ᎢᎬᏌ	i¹gv⁴sa	ii1gvv4sa
ᎢᎾᏓ	i¹nạ²da	ii1na2da
ᎢᎾᏓ	i¹nạ²da²	ii1na2da2
ᎢᏁᎦ	i¹ne³ga	ii1nee3ga
ᎢᏁᎾ	i¹ne¹na	ii1nee1na
ᎢᏁᎾ	i¹ne¹na²	ii1nee1na2
ᎢᏂᎦ	i¹ni²ga	ii1nii2ga
ᎢᏂᎦ	i¹ni²ga²	ii1nii2ga2
ᎢᏓᏓ	i¹dạ²da	ii1da2da
ᎢᏓᏓ	i¹dạ²da²	ii1da2da2
ᎢᏕᎦ	i¹de³ga	ii1dee3ga
ᎢᏕᎾ	i¹de¹na	ii1dee1na
ᎢᏕᎾ	i¹de¹na²	ii1dee1na2
ᎢᏗᎦ	i¹di²ga	ii1dii2ga
ᎢᏗᎦ	i¹di²ga²	ii1dii2ga2
ᎢᏣᏓ	i¹jạ²da	ii1ja2da
ᎢᏣᏓ	i¹jạ²da²	ii1ja2da2
ᎢᏤᎦ	i¹je³ga	ii1jee3ga
ᎢᏤᎾ	i¹je¹na	ii1jee1na
ᎢᏤᎾ	i¹je¹na²	ii1jee1na2
ᎢᏥᎦ	i¹ji²ga	ii1jii2ga
ᎢᏥᎦ	i¹ji²ga²	ii1jii2ga2
ᎢᏥᎭ	i¹ji²ha	ii1jii2ha
ᎢᏥᏥ	i¹ji²ji	ii1jii2ji
ᎢᏨᏌ	i¹jv²³sa	ii1jvv23sa
ᎢᏨᏌ	i¹jv⁴sa	ii1jvv4sa
ᎢᏨᏥ	i¹jv²ji	ii1jvv2ji
ᎣᎩᎭ	o¹gi²ha	oo1gii2ha
ᎣᎩᏥ	o²gi²ji	oo2gii2ji
ᎣᎬᏌ	o¹gv²³sa	oo1gvv23sa
ᎣᎬᏌ	o¹gv⁴sa	oo1gvv4sa
ᎣᏣᏓ	o¹jạ²da²	oo1ja2da2
ᎣᏤᎦ	o¹je³ga	oo1jee3ga
ᎣᏤᎾ	o¹je¹na²	oo1jee1na2
ᎣᏥᎦ	o¹ji²ga²	oo1jii2ga2
ᎤᎬᎢ	u¹gv²³ɂi	uu1gvv23-i
ᎤᎰᎢ	u¹ho³ɂi	uu1hoo3-i
ᎤᎲᎢ	u¹hv²³ɂi	uu1hvv23-i
ᎤᏂᎭ	u¹ni²ha	uu1nii2ha
ᎤᏂᏥ	u²ni²ji	uu2nii2ji
ᎤᏅᏌ	u¹nv²³sa	uu1nvv23sa
ᎤᏅᏌ	u¹nv⁴sa	uu1nvv4sa
ᎤᏘᏗ	ut²di	uut2di
ᎤᏙᏓ	u²do²da	uu2doo2da
ᎤᏚᎳ	u²du²³la²	uu2duu23la2
ᎤᏩᏌ	ụ²wa²³sa	uu2waa23sa
ᎤᏩᏌ	ụ²wa⁴sa	uu2waa4sa
ᎦᎯᏥ	gạ²hi²ji	ga2hii2ji
ᎦᎴᎦ	gạɂ³le¹ga	ga-3lee1ga
ᎦᎷᎦ	gạɂ²lu¹ga²	ga-2luu1ga2
ᎦᏗᎭ	gạ²di³ɂa	ga2dii3-a
ᎦᏥᏥ	gạ²ji²ji	ga2jii2ji
ᎨᎪᎢ	ge³gọ³ɂi	gee3go3-i
ᎩᏂᎭ	gị²ni²ha	gi2nii2ha
ᎩᏂᏥ	gị²ni²ji	gi2nii2ji
ᎩᏅᏌ	gị²nv²³sa	gi2nvv23sa
ᎩᏅᏌ	gị²nv⁴sa	gi2nvv4sa
ᎪᎵᎦ	go²li¹ga	goo2lii1ga
ᎪᎵᎦ	go²li¹ga²	goo2lii1ga2
ᎪᎵᎦ	gohl²ga	gohl2ga
ᎪᎵᎦ	gohl²ga²	gohl2ga2
ᎬᏙᏓ	gv²do²da	gvv2doo2da
ᎭᏗᎭ	hạ²dị²ha	ha2di2ha
ᎮᎪᎢ	he³gọ³ɂi	hee3go3-i
ᎯᎩᎠ	hị²gị³ɂa	hi2gi3-a
ᎯᎴᎦ	hịɂ³le¹ga	hi-3lee1ga
ᎯᎷᎦ	hịɂ²lu¹ga	hi-2luu1ga
ᎯᎷᎦ	hịɂ²lu¹ga²	hi-2luu1ga2
ᎯᏙᏓ	hi²do²da	hii2doo2da
ᎰᎵᎦ	hohl²ga	hohl2ga
ᎰᎵᎦ	hohl²ga²	hohl2ga2
ᎰᎵᎩ	hohl²gi	hohl2gi
ᏍᎩᏥ	sgị²ji	sgi2ji
ᏍᏓᏓ	sdạ²da	sda2da
ᏍᏓᏓ	sdạ²da²	sda2da2
ᏍᏕᎦ	sde³ga	sdee3ga
ᏍᏕᎾ	sde¹na	sdee1na
ᏍᏕᎾ	sde¹na²	sdee1na2
ᏍᏗᎦ	sdi²ga	sdii2ga
ᏍᏗᎦ	sdi²ga²	sdii2ga2
ᏍᏗᎭ	sdi²ha	sdii2ha
ᏍᏗᏥ	sdi²ji	sdii2ji
ᏍᏛᏌ	sdv²³sa	sdvv23sa
ᏍᏛᏌ	sdv⁴sa	sdvv4sa
ᏍᏛᏥ	sdv²ji	sdvv2ji
ᏓᎩᎠ	dạ²gị³ɂa	da2gi3-a
ᏓᎩᎭ	da¹gị²ha	daa1gi2ha
ᏓᏂᎦ	da¹ni²ga²	daa1nii2ga2
ᏕᎩᎭ	de³gi²ha	dee3gii2ha
ᏕᎯᎦ	de²hị²ga²	dee2hi2ga2
ᏕᏂᎦ	de³ni²ga²	dee3nii2ga2
ᏕᏗᎦ	de³di²ga²	dee3dii2ga2
ᏕᏣᎭ	de²jạ²ha	dee2ja2ha
ᏕᏥᎦ	de²jị²ga²	dee2ji2ga2
ᏕᏥᎦ	de³ji²ga²	dee3jii2ga2
ᏕᏥᎭ	de³ji²ha	dee3jii2ha
ᏗᏂᎦ	dị³ni²ga	di3nii2ga
ᏗᏗᎦ	dị²di²ga	di2dii2ga
ᏗᏥᎦ	dị²ji²ga	di2jii2ga
ᏗᏥᏥ	di¹ji²ji	dii1jii2ji
ᏙᎩᎭ	do¹gi²ha	doo1gii2ha
ᏙᏥᎦ	do¹ji²ga²	doo1jii2ga2
ᏚᎬᎢ	du²gv²³ɂi	duu2gvv23-i
ᏚᎰᎢ	du²ho³ɂi	duu2hoo3-i
ᏚᎲᎢ	du²hv²³ɂi	duu2hvv23-i
ᏚᏂᎭ	du¹ni²ha	duu1nii2ha
ᏚᏚᎳ	du²du²³la²	duu2duu23la2
ᏣᎬᎢ	jạ²gv²³ɂi	ja2gvv23-i
ᏣᎰᎢ	jạ²ho³ɂi	ja2hoo3-i
ᏣᎲᎢ	jạ²hv²³ɂi	ja2hvv23-i
ᏣᏘᏗ	jạt²di	jat2di
ᏣᏙᏓ	jạ²do²da	ja2doo2da
ᏣᏚᎳ	jạ²du²³la	ja2duu23la
ᏣᏚᎳ	jạ²du²³la²	ja2duu23la2
ᏥᎩᎠ	jị²gị³ɂa	ji2gi3-a
ᏥᎴᎦ	jịɂ³le¹ga	ji-3lee1ga
ᏥᎷᎦ	jịɂ²lu¹ga²	ji-2luu1ga2
ᏥᏙᏓ	ji²do²da	jii2doo2da
ᏦᎵᎦ	johl²ga	johl2ga
ᏦᎵᎦ	johl²ga²	johl2ga2
ᏦᏥᏥ	jo²ji²ji	joo2jii2ji
ᏧᎵᎢ	ju²lị²ɂi	juu2li2-i
ᏩᎾᏓ	wa¹nạ²da	waa1na2da
ᏩᏁᎾ	wa¹ne¹na	waa1nee1na
ᏩᏂᎦ	wa¹ni²ga	waa1nii2ga
ᏫᎦᏓ	wị²gạ²da	wi2ga2da
ᏫᎨᎾ	wị²ge¹na	wi2gee1na
ᏫᏗᎦ	wị²dị²ga	wi2di2ga
ᏫᏥᎦ	wị²jị²ga	wi2ji2ga
ᏬᏣᏓ	wo¹jạ²da	woo1ja2da
ᏬᏤᎾ	wo¹je¹na	woo1jee1na
ᏬᏥᎦ	wo¹ji²ga	woo1jii2ga
ᏭᏚᎳ	wu²du²³la	wuu2duu23la
ᎠᎦᏚᎳ	a¹gạ²du²³la²	aa1ga2duu23la2
ᎠᎩᎬᎢ	a¹gị²gv²³ɂi	aa1gi2gvv23-i
ᎠᎩᎰᎢ	a¹gị²ho³ɂi	aa1gi2hoo3-i
ᎠᎩᎲᎢ	a¹gị²hv²³ɂi	aa1gi2hvv23-i
ᎠᎩᏙᏓ	ạ²gị²do²da	a2gi2doo2da
ᎠᎪᎵᎦ	a¹go²li¹ga	aa1goo2lii1ga
ᎠᎪᎵᎦ	a¹go²li¹ga²	aa1goo2lii1ga2
ᎠᎪᏩᏔ	ạ²go¹wah²ta²	a2goo1wah2ta2
ᎠᎾᏗᎭ	a¹nạ²dị²ha	aa1na2di2ha
ᎠᏁᎪᎢ	a¹ne³gọ³ɂi	aa1nee3go3-i
