ᎠᏓᎪᏩᏔ	a¹da²go¹wah²ta²	aa1daa2goo1wah2ta2
ᎤᏓᏚᎳ	u¹dạ²du²³la²	uu1da2duu23la2
ᎭᏓᎪᏩᏔ	hạ²da²go¹wah²ta	haa2daa2goo1wah2ta
ᏣᏓᏚᎳ	jạ²dạ²du²³la	ja2da2duu23la
ᎦᏓᎪᏩᏔ	gạ²da²go¹wah²ta²	ga2daa2goo1wah2ta2
ᎢᎦᏓᏚᎳ	i¹gạ²dạ²du²³la	ii1ga2da2duu23la
ᎢᏣᏓᏚᎳ	i¹jạ²dạ²du²³la	ii1ja2da2duu23la
ᏗᎾᏙᎵᎩ	dị²nạ²da²dohl²gi	di2na2daa2dohl2gi
ᎩᎾᏓᏚᎳ	gị²nạ²dạ²du²³la	gi2na2da2duu23la
ᏗᏓᏙᎵᎩ	dị²dạ²da²dohl²gi	di2da2daa2dohl2gi
ᎠᏆᏓᏚᎳ	a¹gwạ²dạ²du²³la²	aa1gwaa2da2duu23la2
ᏍᏓᏓᏚᎳ	sdạ²dạ²du²³la	sdaa2da2duu23la
ᎢᎾᏓᎪᏩᏔ	i¹nạ²da²go¹wah²ta	ii1na2daa2goo1wah2ta
ᎢᏓᏓᎪᏩᏔ	i¹dạ²da²go¹wah²ta	ii1da2daa2goo1wah2ta
ᎣᎦᏓᏚᎳ	o¹gạ²dạ²du²³la²	oo1ga2da2duu23la2
ᎤᎾᏓᏚᎳ	u¹nạ²dạ²du²³la²	uu1na2da2duu23la2
ᎠᎾᏓᎪᏩᏔ	a¹nạ²da²go¹wah²ta²	aa1naa2daa2goo1wah2ta2
ᏕᎦᏓᏚᎳ	de³gạ²dạ²du²³la²	dee3ga2da2duu23la2
ᎣᏣᏓᎪᏩᏔ	o¹jạ²da²go¹wah²ta²	oo1ja2daa2goo1wah2ta2
ᏕᏣᏓᏚᎳ	de³jạ²dạ²du²³la²	dee3ja2da2duu23la2
ᏙᎦᏓᏚᎳ	do¹gạ²dạ²du²³la²	doo1ga2da2duu23la2
ᏚᎾᏓᏚᎳ	du¹nạ²dạ²du²³la²	duu1na2da2duu23la2
ᎣᎩᎾᏓᏚᎳ	o¹gị²nạ²dạ²du²³la²	oo1gi2na2da2duu23la2
ᏓᎾᏓᎪᏩᏔ	da¹nạ²da²go¹wah²ta²	daa1naa2daa2goo1wah2ta2
ᏕᎩᎾᏓᏚᎳ	de²gị²nạ²dạ²du²³la²	dee2gi2na2da2duu23la2
ᏕᏍᏓᏓᏚᎳ	de²sdạ²dạ²du²³la²	dee2sdaa2da2duu23la2
ᏙᎩᎾᏓᏚᎳ	do¹gị²nạ²dạ²du²³la²	doo1gi2na2da2duu23la2
ᏙᏣᏓᎪᏩᏔ	do¹jạ²da²go¹wah²ta²	doo1ja2daa2goo1wah2ta2
ᎣᏍᏓᏓᎪᏩᏔ	o¹sdạ²da²go¹wah²ta²	oo1sda2daa2goo1wah2ta2
ᏙᏍᏓᏓᎪᏩᏔ	do¹sdạ²da²go¹wah²ta²	doo1sda2daa2goo1wah2ta2
ᎠᎦ	ạ²ga²	a2ga2
ᎤᎭ	u¹ha	uu1ha
ᎭᏓ	hạ²da	ha2da
ᎦᏓ	gạ²da²	ga2da2
ᏘᎦ	tị²ga	ti2ga
ᏚᎭ	du²ha	duu2ha
ᎬᎪᎲᎢ	gv²go²hv²³ɂi	gvv2goo2hvv23-i
ᏓᎦ	dạ²ga²	da2ga2
ᏣᎭ	jạ²ha	ja2ha
ᎢᎾᏓ	i¹nạ²da	ii1na2da
ᎡᎦᏚᎳ	e¹gạ²du²³la	ee1ga2duu23la
ᎯᎪᎲᎢ	hi²go²hv²³ɂi	hii2goo2hvv23-i
ᎠᎩᎭ	a¹gị²ha	aa1gi2ha
ᎠᎾᏓ	a¹nạ²da²	aa1na2da2
ᎢᏓᏓ	i¹dạ²da	ii1da2da
ᎠᎦᏚᎳ	a¹gạ²du²³la²	aa1ga2duu23la2
ᎡᎾᏚᎳ	e¹nạ²du²³la	ee1na2duu23la
ᎢᎩᎭ	i¹gi²ha	ii1gii2ha
ᎢᏣᏓ	i¹jạ²da	ii1ja2da
ᎡᏓᏚᎳ	e¹dạ²du²³la	ee1da2duu23la
ᏍᏓᏓ	sdạ²da	sda2da
ᎡᏣᏚᎳ	e¹jạ²du²³la	ee1ja2duu23la
ᏥᎪᎲᎢ	ji²go²hv²³ɂi	jii2goo2hvv23-i
ᎣᎩᎭ	o¹gi²ha	oo1gii2ha
ᎣᏣᏓ	o¹jạ²da²	oo1ja2da2
ᎤᏂᎭ	u¹ni²ha	uu1nii2ha
ᎩᏂᎭ	gị²ni²ha	gi2nii2ha
ᎨᎾᏚᎳ	ge²nạ²du²³la	gee2na2duu23la
ᎣᏍᏓᏓ	o²sdạ²da²	oo2sda2da2
