ᎤᎭ|ù:ha|u¹ha|He has something solid|uu1ha
ᎡᏥ|e:ji|e²ji|Mother|ee2ji
ᎡᎦ|é:ga|e³ga|He is going|ee3ga
ᏨᏌ|jv̌:sa|jv²³sa|Your one self|jvv23sa
ᏦᎩᏘᏗ|jò:gì:tdi|jo¹gi¹tdi|For them and me to bake things|joo1gii1tdi
ᏣᎪᏗ|jakóhdi|jạ²koh³di|For him to have you (1)|ja2koh3di
ᏓᏋᏯ|dà:gwù:wâ:ya|da¹gwu¹wa³²ya|I have rod shaped things|daa1gwuu1waa32ya
ᏓᏂᏰᎠ|dà:ni:hyé:ɂa|da¹ni²hye³ɂa|They are eating flexible things|daa1nii2hyee3-a
ᎭᏓᎪᏩᏔ|hada:gò:wahta|hạ²da²go¹wah²ta|Let you (1) see yourself|haa2daa2goo1wah2ta
ᎠᎪᎵᎦ|à:go:lì:ga|a¹go²li¹ga|He is being recognized|aa1goo2lii1ga
ᎨᏦᎵᏍᏗ|ge:jo:hlísdi|ge²jo²hlị³sdi|For them to recognize you (1)|gee2joo2hli3sdi
ᏓᎪᏩᏔ|dagò:wahtā|dạ²go¹wah²ta²|He recently saw them|da2goo1wah2ta2
ᏫᏦᏥᏟᏌ|wijò:jì:hlǐ:sa|wị²jo¹ji¹hli²³sa|Let them and me gather things|wi2joo1jii1hlii23sa
ᏫᏗᎪᎵᎩ|widigo:lì:gi|wị²dị²go²li¹gi|Let me understand things|wi2di2goo2lii1gi
ᏍᏓᏓᎪᎲᎢ|sdada:go:hv̌:ɂi|sdạ²da²go²hv²³ɂi|You both saw yourselves a while ago|sdaa2daa2goo2hvv23-i
ᏧᏤᎵᎢ|juje:li̋:ɂi|jụ²je²li⁴ɂi|His things|juu2jee2lii4-i
ᏔᏚᎩ|tatǔ:gi|tạ²tu²³gi|Let you (1) drink alcoholic drinks|ta2tuu23gi
ᏗᎩᎾᏓᏚᎳ|diginadadǔ:la|dị²gị²nạ²dạ²du²³la|Let you (1) and me want each other|di2gi2na2da2duu23la
ᏕᎭᏚᎦ|de:hatǔ:gā|de²hạ²tu²³ga²|You (1) recently drank alcoholic drinks|dee2ha2tuu23ga2
ᎨᎦᏚᎳ|ge:gadǔ:lā|ge²gạ²du²³la²|They recently wanted all of us; They were recently wanted|gee2ga2duu23la2
ᏚᎭ|du:ha|du²ha|He has solid things|duu2ha
ᎨᎦ|gé:ga|ge³ga|I am going|gee3ga
ᏧᏂᏘᏗ|jù:nì:tdi|ju¹ni¹tdi|For them to bake things|juu1nii1tdi
ᎠᏋᏌ|à:gwv̌:sa|a¹gwv²³sa|Myself|aa1gwvv23sa
ᏕᏨᏯ|de:jù:wâ:ya|de²ju¹wa³²ya|You (1) have rod shaped things|dee2juu1waa32ya
ᏕᏂᏰᎠ|dé:ni:hyé:ɂa|de³ni²hye³ɂa|You (1) and I are eating flexible things|dee3nii2hyee3-a
ᎢᎾᏓᎪᏩᏔ|ì:nada:gò:wahta|i¹nạ²da²go¹wah²ta|Let you (1) and me see ourselves|ii1na2daa2goo1wah2ta
ᎡᎪᎵᎦ|è:go:lì:ga|e¹go²li¹ga|All of us are being recognized|ee1goo2lii1ga
ᎠᏓᎪᏩᏔ|à:da:gò:wahtā|a¹da²go¹wah²ta²|He recently saw himself|aa1daa2goo1wah2ta2
ᏫᏗᏂᏟᏌ|widinì:hlǐ:sa|wị²dị²ni¹hli²³sa|Let them gather things|wi2di2nii1hlii23sa
ᏦᎦᏓᏙᎵᏍᏗ|jò:gada:do:hlísdi|jo¹gạ²da²do²hlị³sdi|For them and me to be acquainted|joo1ga2daa2doo2hli3sdi
ᏕᎦᏓᎪᎲᎢ|dé:gada:go:hv̌:ɂi|de³gạ²da²go²hv²³ɂi|All of us saw each other a while ago|dee3ga2daa2goo2hvv23-i
ᏗᏣᏤᎵᎢ|dijaje:li̋:ɂi|dị²jạ²je²li⁴ɂi|Your things; You all, your things|di2jaa2jee2lii4-i
ᏗᏓᏚᎩ|didatǔ:gi|dị²dạ²tu²³gi|Let all of us drink alcoholic drinks|di2da2tuu23gi
ᎪᎦᏚᎳ|go:gadǔ:lā|go²gạ²du²³la²|They recently wanted them and me|goo2ga2duu23la2
ᎢᎩᎭ|ì:gi:ha|i¹gi²ha|All of us have something solid|ii1gii2ha
ᎮᎦ|hé:ga|he³ga|You (1) are going|hee3ga
ᏗᎩᏘᏗ|digì:tdi|dị²gi¹tdi|For all of us to bake things|di2gii1tdi
