ID|PSET|VSET|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ANSWER|FILENAME

#First Vocabulary (from various chapters).
||||||ᎣᏏᏲ|o:síyo|Hello.|
||||||ᎥᏍᎩᎩ?|v̀:sgigi?|Really?|
||||||Ꭵ|v̄.|Yes.|
||||||Ꮭ|hla.|No. Not.|
||||||ᏩᏙ|wado|Thanks.|
||||||ᎰᏩ|howa|Okay. Sure. You're welcome.|
|||ᏙᎾᏓ|ᎤᎪᎲᎢ||ᏙᎾᏓᎪᎲᎢ|donada:go:hv:ɂi|“Later, let us two see each other again.”|
|||ᏙᏓᏓ|ᎤᎪᎲᎢ||ᏙᏓᏓᎪᎲᎢ|dodada:go:hv:ɂi|“Later, let us all see each other again.”|

#Second Vocabulary (commands from various chapters).
|||Ꭿ|ᎭᏛᏓᏍᏓ||ᏔᏛᏓᏍᏓ|tatv:dà:sda|let you one listen to them.|
|||Ꭿ|ᎯᎪᎵᏯ||ᏘᎪᎵᏯ|tigo:lǐ:ya.|let you one read them.|
|||ᏂᎯ|ᎠᏛᎦ||ᏂᏔᏛᎦ|nitadv̀:ga|let you one do them.|

#Chapter 1
||||||ᎢᎬᏱᎢ|igv:yi̋:ɂi|first|
||||||ᎠᏕᎶᏆᏍᏗ|à:de:hlohgwà:sdi|a lesson.|
*||||||ᎢᎬᏱᎢ|igv:yi̋:ɂi à:de:hlohgwà:sdi|first lesson.|

#Chapter 2
||||||ᏔᎵᏁᎢ|taɂli:ne̋:ɂi|second.|
*|||ᏔᎵᏁᎢ|ᎠᏕᎶᏆᏍᏗ||ᏔᎵᏁᎢ ᎠᏕᎶᏆᏍᏗ|taɂli:ne̋:ɂi à:de:hlohgwà:sdi|second lesson.|
||||ᏂᎦᏓ||ᏂᎦᏓ|niga̋:da|all.|
|||Ꭰ|ᎠᏫ||ᎠᏫ|ahwi|“A deer. Deer.”|
||||ᏃᏥ||ᏃᏥ|nohji|pine tree.|
||||ᎠᏓ||ᎠᏓ|ada|wood.|
||||ᎠᏓ||ᎠᏓ|a̋ɂda|young animal.|
||||ᎠᎹ||ᎠᎹ|ama|water.|
||||ᎠᎹ||ᎠᎹ|á:ma|salt.|
|||Ꭶ|ᎥᏍᎦᎳᏗᎠ||ᎠᏓ ᎬᏍᎦᎳᏗᎠ|ada gv:sgaládíɂa|He is hiding a stick.|
|||Ꮵ|ᎥᏍᎦᎳᏗᎠ||ᎠᏓ ᎬᏍᎦᎳᏗᎠ|ada gv̀:sgaládíɂa|I am hiding a stick.|

#Chapter 3
||||||ᏦᎢᏁᎢ|joɂi:ne̋:ɂi|third.|
