source	syllabary	pronunciation	definition
ced		a-	third person animate (see Gram. II, A)
ced		a-	third person subject (see Gram. I, B)
ced		-a	present tense (see Gram. I, D)
ced	ᎠᏧᏣ	ạ²chu⁴ja	boy
ced	ᎠᏨᏯ	ạ²chv²ya	male (animal)
ced	ᎠᏓ	ạ²da	wood
ced	ᎠᏓ	ạɂ⁴da	young animal (animal born in litter or hatched)
ced	ᎠᏓᏕᎦ	a¹dạ²de³ga	it's bouncing
ced	ᎠᏓᏕᎦ	a¹dạ²de³ga	he's limping
ced	ᎠᏓᏗᏅᏗᎭ	a¹dạ²di²³nv³²dị²ha	he's bouncing it
ced	ᎠᏓᏠᎯᎭ	a¹da³dlo²hị³ha	he's putting on a belt
ced	ᎠᏓᏠᏍᏗ	ạ²da¹dlo²³sdi	belt
ced	ᎠᏓᏙᎵᏍᏗ	ạ²da²do²³li³²sdi	prayer
ced	ᎠᏓᏙᎵᏍᏗᎭ	a¹da²do²³li³²sdị²ha	he's praying
ced	ᎠᏓᎨᎢ	ạ³dạ²ge⁴ɂi	1. tender  2. very young, new
ced	ᎠᏓᎨᏳᏗ	ạ²da²geyh²di	love
ced	ᎠᏓᎯᎯ	ạ²da²³hị²hi	thing that kills
ced	ᎠᏓᏟᏁᏌᎵᏗ	ạ²da²hlị²ne³sahl²di	purse
ced	ᎠᏓᏁᏗ	ạ²da²³hneh²di	gift
ced	ᎠᏓᏃᏰᎭ	a¹dạ²hno³yẹ²ha	he's fanning himself
ced	ᎠᏓᏃᏲ	ạ²dạ²hno²yo	fan
ced	ᎠᏓᏩᏛᎯᏙᎭ	a¹da²hwah²tv²hi²³do³²ha	he's visiting
ced	ᎠᏓᏯᏍᏗᎭ	a¹da²hya³²sdị²ha	he's stretching
ced	ᎠᏓᏰᏍᎩ	ạ²da²hye⁴sgi	cancer
ced	ᎠᏓᏱᎭ	a¹dạ²hyị³ha	he's denying him, it
ced	ᎠᏓᏲᏁᎭ	a¹da²hyo³nẹ²ha	he's committing adultery
ced	ᎠᏓᏲᏁᏗ	ạ²da²hyo²neh³di	adultery
ced	ᎠᏓᏲᏁᎯ	ạ²da²hyo²ne⁴hi	adulterer
ced	ᎠᏓᏣᎦᎵᎭ	a¹da²jạ²gạ²lị³ha	it's ripping
ced	ᎠᏓᏨᎢᏍᎩ	ạ²da²jvy⁴sgi	something that stings
ced	ᎠᏓᎨᎭ	a¹da²kẹ³ha	he's looking at himself in a mirror
ced	ᎠᏓᎨᏗ	ạ²da²keh³di	mirror
ced	ᎠᏓᎴᏂᎭ	a¹dạ²le²nị³ha	it's beginning
ced	ᎠᏓᎾᏁᏒᎲᏍᎦ	a¹da²na²ne³sv²hṿ³sga	he's shopping
ced	ᎠᏓᎾᏅᎢ	a¹da²nạɂ³nv⁴ɂi	store
ced	ᎠᏓᎾᏩᏍᏗᎭ	a¹dạ²naw³²sdị³ha	he's taking off running
ced	ᎠᏓᏁᏟᏴᎠ	a¹dạ²ne²³dli³yṿ²ɂa	he, it's changing
ced	ᎠᏓᏁᏟᏴᏍᏗᎭ	a¹dạ²ne²³dli³yv¹sdị²ha	he's taking turns with him
ced	ᎠᏓᏁᏟᏴᏍᏗᏍᎩ	ạ²dạ²ne²³dli³yv¹sdi⁴sgi	1. alternate  2. substitute
ced	ᎠᏓᏁᏢᎢ	a¹da²ne²hlv⁴ɂi	provisions, supplies
ced	ᎠᏓᏁᎸᎢ	a¹da²ne²³lv⁴ɂi	building
ced	ᎠᏓᏅᏙ	ạ²danh²do	heart
ced	ᎠᏓᏅᏖᎭ	a¹danh²tẹ³ha	he's thinking
ced	ᎠᏓᏅᏖᏗ	ạ²danh²³teh²di	thought
ced	ᎠᏓᏅᏖᎯᎶᎠ	a¹danh²te²³hi³lọ²ɂa	1. he's pondering it  2. he's considering
ced	ᎠᏓᏃᏴᏟᏍᏗᎭ	a¹dạ²no²hyv²hlị²sdị³ha	he, it's making noise
ced	ᎠᏓᏅᏏᏂ	a¹dan²si²³ni	he's crawling
ced	ᎠᏓᏄᏖᏲᎭ	a¹dạ²nu³te²yọ³ha	it's twisting
ced	ᎠᏓᏅᎠ	a¹dạɂ³nv²ɂa	he, it's moving from one place to another
ced	ᎠᏓᏅᏍᎦ	a¹dạ²nv²³sga	he's ordering it
ced	ᎠᏓᏍᏓᏴᏗᎢ	ạ²da²sdayh¹di⁴i	kitchen
ced	ᎠᏓᏍᏓᏴᎲᏍᎦ	a¹da²sda³²yv²hv³sga	she's cooking a meal
ced	ᎠᏓᏪᎯ	ạda²³we³hi	magician
ced	ᎠᏓᏪᎯ	ạ²da²³we⁴hi	magical
ced	ᎠᏓᏪᎳᎩᎠ	a¹dạ²we²³lạ³gị²ɂa	it's burning (flames)
ced	ᎠᏓᏪᎳᎩᏍᎩ	ạ²dạ²we²³lạ²gi¹sgi	flame
ced	ᎠᏓᏪᎳᎩᏍᎩ	ạ²dạ²we²lạ²gi¹sgi	gunpowder
ced	ᎠᏓᏪᏐᎸᏍᏗᎭ	a¹dạ²we³so²lv²³sdị³ha	he's resting
ced	ᎠᏓᏫ	A²³dạ³wi	Adam
ced	ᎠᏓᏬᎠ	a¹dạ²wo³ɂa	1. he's bathing  2. he's swimming
ced	ᎠᏓᏬᏍᏗᎢ	ạ²dạ²wo¹sdi⁴ɂi	swimming pool
ced	ᎠᏓᏴᎳᏛᏍᎩ	ạ²dạ²yv²³lạ²tṿ²sgi	television
ced	ᎠᏕᎭ	a¹de³ha	he's giving him a long  object
ced	ᎠᏕᏠᏆᎠ	a¹de²hloh²gwạ³ɂa	he's learning, he's learning it
ced	ᎠᏕᎰᎯᏍᏗᎭ	a¹de²ho²³hị³sdị²ha	he's embarrassing him
ced	ᎠᏕᎰᏍᎦ	a¹de²ho²³sga	he's embarrassed
ced	ᎠᏕᎲᏍᎦ	a¹de²hṿ³sga	he's being born
ced	ᎠᏕᎳ	ạ²de²³la	money
ced	ᎠᏕᎳᏗᏗᎢ, ᎠᏕᎳᏧᏂᏗᎢ	ạ²del²³diyh²di⁴ɂi, ạ²del²³ju²niyh²di⁴i	bank
ced	ᎠᏕᎳᏧᏢᎢ	ạ²del²³ju²³hlv⁴ɂi	California
ced	ᎠᏕᎶᎰᏍᎦ	a¹de²lọ²ho²sga	he's finding it out
ced	ᎠᏕᎸᎢ	ạ³de²lv⁴ɂi	dollars
ced	ᎠᏕᏛᏍᎦ	a¹de²tṿ³sga	he's diving
ced	ᎠᏕᏲᎭ	a¹de³yọ²ha	1. he's going around a curve  2. he's turning off the road  3. he's circling it
ced	ᎠᏕᏲᎲᎢ	a¹de³yọ²hv⁴ɂi	curve
ced	ᎠᏗᎠ	a¹dị³ɂa	he's laying a long object down
ced	ᎠᏗᏗᎭ	a¹di²dị³ha	he's rising from a prone position
ced	ᎠᏗᎦᎴᏯᎠ	a¹di²gạ²le²³yạ³ɂa	he's scattering it
